SKU,QUANTITY
1701432703_BLU_960_36,1
18033004320_BLU_423_S,6
18014150036_ROSSO_643_36,1
18017705019_GRIGIO_93_46,1
18017705019_GRIGIO_93_48,1
1601475710_BLU_423_S,1
W0YK94WBTZ0_NERO_JBLK_XS,2
1387904878_BIANCO_100_XS,3
10310007_GRIGIO_0003-DARKGREYMELANGEWHITE_XL,79
CORSARO_BEIGE_C69519_24,2
1203450532_BLU_414_44,1
17044803060_BLU_433_XS,4
17044803060_BLU_433_S,4
K60K606509_NERO_BAX_UNI,69
18034800072_BLU_410_XS,1
1603414901_BLU_410_44-L32,1
KL20MBM01_BLU_NAVY_S,18
KL20MBM01_BLU_NAVY_M,30
KL20MBM01_BLU_NAVY_L,19
KL20MBM03_ROSSO_RED_S,46
KL20MBM03_ROSSO_RED_M,116
KL20MBM03_ROSSO_RED_L,101
KL20MBM03_ROSSO_RED_XL,66
KL20MBM03_ROSSO_RED_2XL,64
20012055002_ROSSO_640_S,7
1301470531_ROSSO_638_L,2
18014100030_BEIGE_34_26,2
17034301002_BLU_433_34,1
19033011330_VIOLA_605_S,1
18033011530-1_BIANCO_130_S,3
1203414588_MARRONE_272_34-L32,1
902250-000_BLU_0790_2XL,1
59255-52932_GRIGIO_584_2XL,1
K60K607554_NERO_BAX_UNI,35
1401410481_AZZURRO_468_26-L34,1
1401410481_AZZURRO_468_31-L34,1
1403408102_BLU_413_XS,2
AM0AM05754_BLU_CJM_UNI,1
59375-52878_BLU_179_M,1
1401431988_ROSSO_603_42,1
1601074498_BLU_403_S,2
W92B56WBJX0_NERO_JBLK_25,1
1201476418_AZZURRO_410_44,1
K60K606311_NERO_BAX_UNI,1
59383-52901_NERO_199_M,2
1901921916010_BLU_423_S,4
1601450953_BIANCO_110_34,1
19013006720_AZZURRO_468_S,1
1901200024_GRIGIO_46_30,1
